,Danceability,Energy,Valence,Tempo,Song ID,Date Added
98,0.808,0.745,0.829,165.995,7FIWs0pqAYbP91WWM0vlTQ,2020-01-20
99,0.72,0.767,0.595,88.966,7Dj2wqPYXfSRFwa6qyOztr,2020-01-19
100,0.495,0.931,0.617,104.05,53L6A3I9vf7rgEZnMzx54E,2020-01-19
101,0.769,0.787,0.836,126.77,6Ozh9Ok6h4Oi1wUSLtBseN,2020-01-18
102,0.896,0.586,0.642,116.971,0nbXyq5TXYPCO7pr3N8S4I,2020-01-18
103,0.449,0.585,0.203,139.627,6nek1Nin9q48AVZcWs9e9D,2020-01-16
104,0.782,0.685,0.603,118.016,7vFoFDWqTX0mHzLfrF1Cfy,2020-01-13
105,0.687,0.723,0.432,76.0,3pD0f7hSJg2XdQ6udw5Tey,2020-01-13
106,0.676,0.534,0.156,145.082,37jTPJgwCCmIGMPB45jrPV,2020-01-13
107,0.676,0.609,0.508,142.037,5yY9lUy8nbvjM1Uyo1Uqoc,2020-01-12
108,0.549,0.789,0.715,136.125,1Q3t9fWvHUXKsMmpD2XpUu,2020-01-07
109,0.637,0.661,0.694,151.148,4GGSmoTmc5LClrowB4SmEw,2020-01-07
110,0.857,0.621,0.668,97.989,4vUmTMuQqjdnvlZmAH61Qk,2020-01-06
111,0.286,0.125,0.0863,82.975,1EjfCGPicAauZwnbFrTczK,2019-12-31
112,0.513,0.796,0.345,171.017,0sf12qNH5qcw8qpgymFOqD,2019-12-24
113,0.621,0.601,0.457,116.735,696DnlkuDOXcMAnKlTgXXK,2019-12-19
114,0.62,0.578,0.402,164.866,3MhvJyLuX6GyOouXYZlXtA,2019-12-19
115,0.763,0.875,0.8,123.013,5fnA9mkIfScSqHIpeDyvck,2019-12-18
116,0.703,0.997,0.391,132.872,3N3t4yMGy1PCF7ZbizvZbK,2019-12-17
117,0.699,0.593,0.322,128.011,0ZrXNuryJ6FYjww6jU6RUm,2019-12-15
118,0.724,0.491,0.383,105.046,3yOlyBJuViE2YSGn3nVE1K,2019-12-12
119,0.63,0.671,0.333,89.921,735RSTb2xbtWbDtKD9XDYi,2019-12-11
120,0.677,0.682,0.875,106.279,0BBOLOV5JntPL3341swIre,2019-12-11
121,0.654,0.872,0.612,130.023,0BmT0BVnYYggf7V4NCtx2B,2019-12-10
122,0.681,0.689,0.611,180.086,0O9GcyFNK9v9f4KpWciP8V,2019-12-10
123,0.663,0.839,0.202,108.024,56PT13pS9iuCdxHC6vjYSy,2019-12-09
124,0.743,0.347,0.572,160.143,0wXuerDYiBnERgIpbb3JBR,2019-12-09
125,0.526,0.712,0.32,105.009,1eyzqe2QqGZUmfcPZtrIyt,2019-12-09
126,0.658,0.963,0.793,134.798,3vSn1frPgFcRXrjWOfhMLl,2019-12-09
127,0.799,0.865,0.651,128.011,0bOtqTdqxo23xj0H1skKra,2019-12-09
128,0.643,0.715,0.604,94.53,798pGLPSM0Sxy94AESVd6s,2019-12-09
129,0.611,0.613,0.491,127.979,3ezkJgagRPZ39KCTrKcSI7,2019-12-09
130,0.738,0.868,0.336,122.003,22mek4IiqubGD9ctzxc69s,2019-12-09
131,0.623,0.962,0.676,149.963,5PUawWFG1oIS2NwEcyHaCr,2019-12-09
132,0.718,0.82,0.613,92.998,4XNrMwGx1SqP01sqkGTDmo,2019-12-09
133,0.627,0.703,0.64,81.897,6jizk5lOUnfpaZXYMdfeC6,2019-12-09
134,0.79,0.647,0.654,87.999,4EWCNWgDS8707fNSZ1oaA5,2019-12-09
135,0.683,0.53,0.645,75.016,7F9vK8hNFMml4GtHsaXui6,2019-12-09
136,0.82,0.692,0.739,105.131,6tYi93Nes84arkBcgesJbQ,2019-12-09
137,0.704,0.571,0.524,141.888,6JH9yWhgbm0y9iAJhCslNc,2019-12-09
138,0.754,0.762,0.673,92.002,3FDrI0FLKzrYQiWxPhqV2W,2019-12-09
139,0.461,0.834,0.471,135.007,66qlqxhEMpSHOzjRK4il0b,2019-12-09
140,0.414,0.857,0.348,128.024,07nH4ifBxUB4lZcsf44Brn,2019-12-09
141,0.731,0.718,0.428,129.053,5SlHTXLWa0nvh8VtGgKlJB,2019-12-09
142,0.595,0.875,0.59,85.981,26x7ih7lOBFwYpXUHJUoqD,2019-12-06
143,0.719,0.896,0.746,100.962,4UyAtnwhaKv7EG1BdkBYRI,2019-11-27
144,0.706,0.728,0.966,109.987,4Y6GIje3GErVRIq1Ff5BJq,2019-11-27
145,0.668,0.913,0.933,132.039,1KuVdyg8d6NlRhbpHxg5UF,2019-11-26
146,0.721,0.716,0.667,104.994,6cy3ki60hLwimwIje7tALf,2019-11-22
147,0.78,0.716,0.362,105.017,70Cp0ukCMyWeJML77NGERU,2019-11-19
